rule_id,patient_profile,vital_parameter,safe_min,safe_max,critical_min,critical_max,observational_sign,escalation_action,source
R001,Maternal,Systolic BP (mmHg),100,139,<90,>=160,,Escalate to Obstetric CHC,MEOWS
R002,Maternal,Diastolic BP (mmHg),60,89,<50,>=110,,Escalate to Obstetric CHC,MEOWS
R003,Maternal,Heart Rate (bpm),60,100,<50,>=120,,Escalate to Obstetric CHC,MEOWS
R004,Maternal,Temperature (C),36.1,37.4,<35.0,>=38.0,,Escalate to Obstetric CHC,MEOWS
R005,Maternal,O2 Saturation (%),95,100,<90,,,Oxygen Support / Escalate,MEOWS
R006,Maternal,Fetal Heart Rate (bpm),110,160,<110,>160,,Urgent Obstetric Referral,STG
R007,Maternal,Hemoglobin (g/dL),11.0,15.0,<7.0,,,Severe Anemia Referral / Blood Transfusion,IPHS
R008,Maternal,Random Blood Sugar (mg/dL),70,140,<60,>200,,Endocrinology / Obstetric Referral,STG
R009,Maternal,Observational,,,,,Severe headache or blurred vision,Escalate to Obstetric CHC (Pre-eclampsia),ASHA
R010,Maternal,Observational,,,,,Heavy vaginal bleeding,Escalate to Obstetric CHC / Blood Bank,ASHA
R011,Maternal,Observational,,,,,Convulsions or Fits,Dispatch Ambulance / MgSO4,ASHA
R012,Maternal,Observational,,,,,Foul smelling vaginal discharge,Escalate to Obstetrician (Sepsis risk),ASHA
R013,Maternal,Observational,,,,,Decreased fetal movements,Ultrasound / Obstetric Referral,ASHA
R014,Maternal,Observational,,,,,Leaking amniotic fluid prematurely,Urgent Obstetric Referral,ASHA
R015,Maternal,Observational,,,,,Severe abdominal pain,Urgent Obstetric Referral,ASHA
R016,Neonate (0-2mo),Respiratory Rate (/min),30,59,<30,>=60,,Escalate to Pediatric PHC/SNCU,IMNCI
R017,Neonate (0-2mo),Temperature (C),36.5,37.4,<35.5,>=37.5,,Thermal Care / SNCU Escalate,IMNCI
R018,Neonate (0-2mo),Heart Rate (bpm),100,160,<100,>180,,SNCU Escalate,IMNCI
R019,Neonate (0-2mo),Capillary Refill (sec),0,2,,>3,,SNCU Escalate (Shock),IMNCI
R020,Neonate (0-2mo),Observational,,,,,Lethargic or not feeding,SNCU Escalate,ASHA
R021,Neonate (0-2mo),Observational,,,,,Yellow palms or soles (Jaundice),SNCU Escalate,ASHA
R022,Neonate (0-2mo),Observational,,,,,Severe chest in-drawing,SNCU Escalate,IMNCI
R023,Neonate (0-2mo),Observational,,,,,Umbilical stump red/pus,Pediatric Referral (Sepsis),IMNCI
R024,Neonate (0-2mo),Observational,,,,,Bulging fontanelle,Pediatric Referral (Meningitis),IMNCI
R025,Neonate (0-2mo),Observational,,,,,Convulsions,Immediate SNCU Escalate,IMNCI
R026,Child (2m-5y),Respiratory Rate (2-12m),25,49,<20,>=50,,Pediatric Referral,IMNCI
R027,Child (2m-5y),Respiratory Rate (1-5y),20,39,<15,>=40,,Pediatric Referral,IMNCI
R028,Child (2m-5y),Temperature (C),36.5,37.5,<35.0,>38.5,,Pediatric Referral,IMNCI
R029,Child (2m-5y),Heart Rate (bpm),80,130,<70,>150,,Pediatric Referral,IMNCI
R030,Child (2m-5y),Weight for Age Z-score,-2,2,< -3,,,Nutrition Rehab Centre (SAM),WHO
R031,Child (2m-5y),MUAC (cm),12.5,15.0,<11.5,,,Nutrition Rehab Centre (SAM),WHO
R032,Child (2m-5y),Observational,,,,,Stridor in calm child,Pediatric Referral,IMNCI
R033,Child (2m-5y),Observational,,,,,Unable to drink or breastfeed,Pediatric Referral,IMNCI
R034,Child (2m-5y),Observational,,,,,Vomits everything,Pediatric Referral,IMNCI
R035,Child (2m-5y),Observational,,,,,Sunken eyes / Skin pinch goes back very slowly,IV Fluids / Pediatric Referral,IMNCI
R036,General Adult,Systolic BP (mmHg),90,140,<80,>=180,,Emergency / General Medicine,IPHS
R037,General Adult,Diastolic BP (mmHg),60,90,<50,>=120,,Emergency / General Medicine,IPHS
R038,General Adult,Heart Rate (bpm),60,100,<40,>=130,,Emergency / General Medicine,IPHS
R039,General Adult,Respiratory Rate (/min),12,20,<8,>28,,Emergency / General Medicine,IPHS
R040,General Adult,O2 Saturation (%),95,100,<90,,,Oxygen Support / Emergency,IPHS
R041,General Adult,Temperature (C),36.1,37.2,<35.0,>39.0,,General Medicine,IPHS
R042,General Adult,Random Blood Sugar (mg/dL),70,140,<50,>300,,Emergency / General Medicine,IPHS
R043,General Adult,Hemoglobin (g/dL),12.0,16.0,<7.0,,,Severe Anemia Referral / Blood Transfusion,IPHS
R044,General Adult,Observational,,,,,Sudden weakness on one side of face/body,Stroke Protocol / Urgent Referral,STG
R045,General Adult,Observational,,,,,Severe crushing chest pain,Cardiac Protocol / Urgent Referral,STG
R046,General Adult,Observational,,,,,Active coughing of blood (Hemoptysis),TB/Pulmonology Referral,STG
R047,General Adult,Observational,,,,,Altered mental status / Confusion,Emergency Referral,STG
R048,Geriatric (65+),Systolic BP (mmHg),100,150,<90,>=180,,Geriatric / General Medicine,IPHS
R049,Geriatric (65+),Heart Rate (bpm),60,90,<40,>120,,Geriatric / General Medicine,IPHS
