facility_id,facility_name,district,village_or_pincode,facility_type,specialty,doctor_available,teleconsultation_available,next_slot,diagnostic_test_available,medicine_name,medicine_in_stock,emergency_capable,operating_hours
FAC0001,Amravati Sub-Centre 45,Amravati,416885,Sub-Centre,General Medicine,Yes,No,2026-09-05 06:38,Blood Test,Labetalol,512,No,08:00-18:00
FAC0002,Palghar Sub-Centre 93,Palghar,421197,Sub-Centre,General Medicine,No,No,N/A,Blood Test,Paracetamol,374,No,08:00-18:00
FAC0003,Palghar Sub-Centre 74,Palghar,440836,Sub-Centre,General Medicine,No,No,N/A,Blood Test,Insulin,57,No,08:00-18:00
FAC0004,Nagpur District Hospital 45,Nagpur,420209,District Hospital,Pediatrics,Yes,Yes,2026-09-07 09:38,CT Scan,Labetalol,391,Yes,24/7
FAC0005,Amravati District Hospital 6,Amravati,431473,District Hospital,Neurology,Yes,Yes,2026-09-04 10:38,ECG,Paracetamol,0,Yes,24/7
FAC0006,Nagpur Sub-Centre 93,Nagpur,439521,Sub-Centre,General Medicine,Yes,No,2026-09-07 04:38,Blood Test,Aspirin,520,No,08:00-18:00
FAC0007,Nandurbar District Hospital 42,Nandurbar,434160,District Hospital,General Medicine,Yes,Yes,2026-09-05 06:38,CT Scan,Amoxicillin,567,Yes,24/7
FAC0008,Nandurbar District Hospital 97,Nandurbar,412975,District Hospital,Dermatology,Yes,Yes,2026-09-04 08:38,CT Scan,Diazepam,0,Yes,24/7
FAC0009,Pune Sub-Centre 36,Pune,435328,Sub-Centre,General Medicine,Yes,No,2026-09-05 05:38,None,Labetalol,0,No,08:00-18:00
FAC0010,Jalgaon CHC 65,Jalgaon,428217,CHC,Orthopedics,Yes,Yes,2026-09-06 08:38,Ultrasound,Aspirin,557,Yes,24/7
FAC0011,Pune CHC 70,Pune,426067,CHC,Emergency Medicine,Yes,No,2026-09-05 12:38,Blood Test,Insulin,402,No,24/7
FAC0012,Pune Rural Hospital 35,Pune,423367,Rural Hospital,Orthopedics,Yes,Yes,2026-09-07 12:38,Ultrasound,Labetalol,709,No,24/7
FAC0013,Nandurbar PHC 53,Nandurbar,422107,PHC,General Medicine,Yes,Yes,2026-09-07 03:38,Blood Test,Oxytocin,0,No,08:00-18:00
FAC0014,Nandurbar Sub-Centre 93,Nandurbar,438392,Sub-Centre,General Medicine,No,No,N/A,Blood Test,Oxytocin,572,No,08:00-18:00
FAC0015,Nashik PHC 20,Nashik,429766,PHC,General Medicine,Yes,Yes,2026-09-05 04:38,Blood Test,Iron/Folic Acid,142,No,08:00-18:00
FAC0016,Satara District Hospital 41,Satara,434933,District Hospital,Dermatology,Yes,Yes,2026-09-05 04:38,ECG,Amoxicillin,911,Yes,24/7
FAC0017,Gadchiroli Rural Hospital 88,Gadchiroli,423505,Rural Hospital,Emergency Medicine,Yes,No,2026-09-05 09:38,Ultrasound,Aspirin,0,Yes,24/7
FAC0018,Jalgaon Sub-Centre 72,Jalgaon,411555,Sub-Centre,General Medicine,Yes,No,2026-09-05 10:38,None,Metformin,353,No,08:00-18:00
FAC0019,Satara Sub-Centre 7,Satara,427308,Sub-Centre,General Medicine,Yes,No,2026-09-05 12:38,None,Paracetamol,342,No,08:00-18:00
FAC0020,Pune PHC 95,Pune,439882,PHC,General Medicine,No,Yes,N/A,None,Aspirin,381,No,08:00-18:00
FAC0021,Satara District Hospital 5,Satara,434260,District Hospital,Orthopedics,No,Yes,N/A,X-Ray,Insulin,633,Yes,24/7
FAC0022,Pune Rural Hospital 83,Pune,431321,Rural Hospital,Orthopedics,Yes,No,2026-09-06 07:38,Ultrasound,Iron/Folic Acid,110,No,24/7
FAC0023,Nashik District Hospital 39,Nashik,429460,District Hospital,General Medicine,Yes,Yes,2026-09-07 12:38,CT Scan,Aspirin,817,Yes,24/7
FAC0024,Jalgaon Sub-Centre 8,Jalgaon,413169,Sub-Centre,General Medicine,Yes,No,2026-09-07 07:38,Blood Test,Labetalol,0,No,08:00-18:00
FAC0025,Satara PHC 42,Satara,421620,PHC,General Medicine,No,Yes,N/A,Blood Test,Iron/Folic Acid,187,No,08:00-18:00
FAC0026,Pune PHC 37,Pune,436013,PHC,General Medicine,No,No,N/A,None,Diazepam,843,No,08:00-18:00
FAC0027,Jalgaon Rural Hospital 35,Jalgaon,423864,Rural Hospital,Pediatrics,Yes,Yes,2026-09-05 12:38,ECG,Paracetamol,369,Yes,24/7
FAC0028,Palghar District Hospital 38,Palghar,432587,District Hospital,Pediatrics,No,Yes,N/A,Ultrasound,Diazepam,303,Yes,24/7
FAC0029,Palghar Sub-Centre 14,Palghar,430223,Sub-Centre,General Medicine,Yes,No,2026-09-07 05:38,Blood Test,Paracetamol,527,No,08:00-18:00
FAC0030,Jalgaon Rural Hospital 47,Jalgaon,427328,Rural Hospital,Orthopedics,No,Yes,N/A,X-Ray,Metformin,102,Yes,24/7
FAC0031,Satara Sub-Centre 2,Satara,428688,Sub-Centre,General Medicine,No,No,N/A,None,Diazepam,604,No,08:00-18:00
FAC0032,Jalgaon Rural Hospital 4,Jalgaon,430485,Rural Hospital,Orthopedics,Yes,No,2026-09-07 05:38,Ultrasound,Paracetamol,370,Yes,24/7
FAC0033,Nandurbar Rural Hospital 81,Nandurbar,410900,Rural Hospital,Pediatrics,No,Yes,N/A,Blood Test,Labetalol,0,No,24/7
FAC0034,Nagpur Rural Hospital 48,Nagpur,435944,Rural Hospital,Pediatrics,Yes,Yes,2026-09-04 06:38,ECG,Iron/Folic Acid,181,No,24/7
FAC0035,Satara Sub-Centre 39,Satara,414112,Sub-Centre,General Medicine,Yes,Yes,2026-09-05 08:38,None,Labetalol,576,No,08:00-18:00
FAC0036,Satara Sub-Centre 72,Satara,428582,Sub-Centre,General Medicine,No,No,N/A,Blood Test,Amoxicillin,599,No,08:00-18:00
FAC0037,Nagpur Rural Hospital 54,Nagpur,411356,Rural Hospital,Emergency Medicine,Yes,No,2026-09-06 09:38,None,Amoxicillin,395,Yes,24/7
FAC0038,Palghar District Hospital 54,Palghar,434130,District Hospital,Cardiology,No,Yes,N/A,X-Ray,Aspirin,954,Yes,24/7
FAC0039,Pune Rural Hospital 58,Pune,434426,Rural Hospital,Orthopedics,Yes,No,2026-09-05 12:38,X-Ray,Amoxicillin,665,Yes,24/7
FAC0040,Amravati PHC 63,Amravati,432923,PHC,General Medicine,Yes,No,2026-09-06 03:38,None,Paracetamol,461,No,08:00-18:00
FAC0041,Satara PHC 88,Satara,424724,PHC,General Medicine,No,No,N/A,Blood Test,Amoxicillin,366,No,08:00-18:00
FAC0042,Palghar PHC 4,Palghar,418441,PHC,General Medicine,Yes,Yes,2026-09-05 06:38,Blood Test,Labetalol,0,No,08:00-18:00
FAC0043,Pune CHC 33,Pune,439562,CHC,General Medicine,No,No,N/A,X-Ray,Labetalol,0,Yes,24/7
FAC0044,Nashik Rural Hospital 67,Nashik,417184,Rural Hospital,Orthopedics,No,Yes,N/A,None,Labetalol,0,No,24/7
FAC0045,Satara District Hospital 82,Satara,439980,District Hospital,Emergency Medicine,No,Yes,N/A,Blood Test,Oxytocin,336,Yes,24/7
FAC0046,Palghar CHC 79,Palghar,438637,CHC,General Medicine,Yes,Yes,2026-09-06 11:38,ECG,Labetalol,170,No,24/7
FAC0047,Amravati Sub-Centre 23,Amravati,425979,Sub-Centre,General Medicine,No,Yes,N/A,None,Amoxicillin,890,No,08:00-18:00
FAC0048,Nandurbar PHC 95,Nandurbar,414741,PHC,General Medicine,Yes,No,2026-09-05 05:38,Blood Test,Metformin,996,No,08:00-18:00
FAC0049,Pune Sub-Centre 50,Pune,415537,Sub-Centre,General Medicine,No,No,N/A,Blood Test,Iron/Folic Acid,0,No,08:00-18:00
FAC0050,Jalgaon Sub-Centre 91,Jalgaon,437296,Sub-Centre,General Medicine,No,No,N/A,None,Metformin,958,No,08:00-18:00
FAC0051,Pune CHC 53,Pune,420690,CHC,Pediatrics,No,Yes,N/A,ECG,Labetalol,429,No,24/7
FAC0052,Pune CHC 79,Pune,431196,CHC,Pediatrics,No,Yes,N/A,ECG,Amoxicillin,671,No,24/7
FAC0053,Nashik District Hospital 20,Nashik,414798,District Hospital,Pediatrics,Yes,Yes,2026-09-04 04:38,Ultrasound,Labetalol,997,Yes,24/7
FAC0054,Nagpur CHC 20,Nagpur,411850,CHC,Emergency Medicine,No,No,N/A,Ultrasound,Paracetamol,978,Yes,24/7
FAC0055,Nagpur District Hospital 69,Nagpur,412077,District Hospital,Cardiology,Yes,Yes,2026-09-06 03:38,MRI,Iron/Folic Acid,930,Yes,24/7
FAC0056,Satara District Hospital 7,Satara,434555,District Hospital,Pediatrics,Yes,Yes,2026-09-05 10:38,Ultrasound,Oxytocin,511,Yes,24/7
FAC0057,Pune District Hospital 3,Pune,425586,District Hospital,Obstetrics and Gynecology,Yes,Yes,2026-09-05 12:38,X-Ray,Metformin,834,Yes,24/7
FAC0058,Satara District Hospital 98,Satara,423378,District Hospital,Orthopedics,Yes,Yes,2026-09-05 04:38,MRI,Diazepam,837,Yes,24/7
FAC0059,Amravati District Hospital 62,Amravati,410892,District Hospital,Cardiology,Yes,Yes,2026-09-07 10:38,X-Ray,Diazepam,123,Yes,24/7
FAC0060,Nandurbar CHC 18,Nandurbar,431699,CHC,Orthopedics,No,Yes,N/A,Blood Test,Amoxicillin,512,Yes,24/7
FAC0061,Gadchiroli District Hospital 5,Gadchiroli,416408,District Hospital,Dermatology,Yes,Yes,2026-09-05 04:38,MRI,Metformin,419,Yes,24/7
FAC0062,Gadchiroli Rural Hospital 30,Gadchiroli,440672,Rural Hospital,General Medicine,No,No,N/A,None,Diazepam,137,No,24/7
FAC0063,Gadchiroli PHC 39,Gadchiroli,431592,PHC,General Medicine,Yes,Yes,2026-09-05 07:38,Blood Test,Labetalol,398,No,08:00-18:00
FAC0064,Nandurbar Rural Hospital 3,Nandurbar,414672,Rural Hospital,General Medicine,No,Yes,N/A,X-Ray,Amoxicillin,503,Yes,24/7
FAC0065,Palghar District Hospital 30,Palghar,435612,District Hospital,Clinical Genetics,No,Yes,N/A,ECG,Metformin,757,Yes,24/7
FAC0066,Nashik CHC 74,Nashik,436047,CHC,Orthopedics,No,Yes,N/A,Ultrasound,Amoxicillin,833,Yes,24/7
FAC0067,Jalgaon Sub-Centre 11,Jalgaon,412785,Sub-Centre,General Medicine,No,Yes,N/A,Blood Test,Oxytocin,629,No,08:00-18:00
FAC0068,Nashik Sub-Centre 17,Nashik,419352,Sub-Centre,General Medicine,Yes,No,2026-09-07 03:38,Blood Test,Diazepam,353,No,08:00-18:00
FAC0069,Pune CHC 2,Pune,436891,CHC,Obstetrics and Gynecology,Yes,Yes,2026-09-05 05:38,X-Ray,Iron/Folic Acid,396,Yes,24/7
FAC0070,Nagpur PHC 33,Nagpur,422322,PHC,General Medicine,No,No,N/A,Blood Test,Labetalol,760,No,08:00-18:00
FAC0071,Gadchiroli Rural Hospital 53,Gadchiroli,433150,Rural Hospital,Emergency Medicine,Yes,Yes,2026-09-05 04:38,Blood Test,Labetalol,319,No,24/7
FAC0072,Palghar PHC 64,Palghar,438981,PHC,General Medicine,No,No,N/A,Blood Test,Metformin,410,No,08:00-18:00
FAC0073,Nandurbar PHC 89,Nandurbar,413118,PHC,General Medicine,Yes,No,2026-09-05 07:38,None,Paracetamol,606,No,08:00-18:00
FAC0074,Nashik CHC 49,Nashik,427258,CHC,Emergency Medicine,Yes,No,2026-09-06 12:38,ECG,Metformin,0,Yes,24/7
FAC0075,Pune Sub-Centre 14,Pune,437508,Sub-Centre,General Medicine,Yes,No,2026-09-04 08:38,Blood Test,Iron/Folic Acid,993,No,08:00-18:00
FAC0076,Nandurbar Sub-Centre 88,Nandurbar,418183,Sub-Centre,General Medicine,No,No,N/A,Blood Test,Paracetamol,932,No,08:00-18:00
FAC0077,Satara District Hospital 66,Satara,435559,District Hospital,Dermatology,Yes,Yes,2026-09-05 10:38,CT Scan,Amoxicillin,242,Yes,24/7
FAC0078,Satara Rural Hospital 16,Satara,435329,Rural Hospital,Pediatrics,Yes,Yes,2026-09-06 12:38,X-Ray,Labetalol,238,Yes,24/7
FAC0079,Amravati Sub-Centre 41,Amravati,442326,Sub-Centre,General Medicine,No,Yes,N/A,None,Diazepam,481,No,08:00-18:00
FAC0080,Satara Rural Hospital 59,Satara,425868,Rural Hospital,Obstetrics and Gynecology,No,No,N/A,Ultrasound,Paracetamol,221,Yes,24/7
FAC0081,Nandurbar Sub-Centre 73,Nandurbar,414411,Sub-Centre,General Medicine,No,No,N/A,None,Insulin,759,No,08:00-18:00
FAC0082,Satara Sub-Centre 23,Satara,432632,Sub-Centre,General Medicine,No,Yes,N/A,None,Insulin,0,No,08:00-18:00
FAC0083,Satara Sub-Centre 12,Satara,436796,Sub-Centre,General Medicine,No,No,N/A,None,Insulin,967,No,08:00-18:00
FAC0084,Nandurbar Sub-Centre 18,Nandurbar,424087,Sub-Centre,General Medicine,No,No,N/A,Blood Test,Amoxicillin,390,No,08:00-18:00
FAC0085,Nandurbar Sub-Centre 33,Nandurbar,425729,Sub-Centre,General Medicine,No,Yes,N/A,Blood Test,Metformin,335,No,08:00-18:00
FAC0086,Nandurbar Sub-Centre 57,Nandurbar,430987,Sub-Centre,General Medicine,Yes,Yes,2026-09-04 09:38,None,Iron/Folic Acid,162,No,08:00-18:00
FAC0087,Jalgaon CHC 7,Jalgaon,437483,CHC,Obstetrics and Gynecology,Yes,Yes,2026-09-05 03:38,X-Ray,Diazepam,941,No,24/7
FAC0088,Nagpur Rural Hospital 4,Nagpur,433048,Rural Hospital,Emergency Medicine,Yes,Yes,2026-09-07 07:38,None,Paracetamol,395,Yes,24/7
FAC0089,Nashik District Hospital 9,Nashik,433786,District Hospital,Cardiology,Yes,Yes,2026-09-05 09:38,X-Ray,Diazepam,64,Yes,24/7
FAC0090,Nagpur CHC 51,Nagpur,437229,CHC,Obstetrics and Gynecology,No,No,N/A,Blood Test,Oxytocin,767,Yes,24/7
FAC0091,Amravati District Hospital 44,Amravati,441281,District Hospital,General Medicine,Yes,Yes,2026-09-05 05:38,ECG,Aspirin,189,Yes,24/7
FAC0092,Jalgaon Sub-Centre 99,Jalgaon,419779,Sub-Centre,General Medicine,Yes,No,2026-09-04 06:38,Blood Test,Iron/Folic Acid,681,No,08:00-18:00
